127.0.0.1 - - [08/Dec/2022:13:59:30 +0800] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [08/Dec/2022:13:59:31 +0800] "GET /spring-mvc-demo/ HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/Dec/2022:13:59:54 +0800] "GET /spring-mvc-demo/main-menu HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [08/Dec/2022:14:00:08 +0800] "GET /spring-mvc-demo/ HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/Dec/2022:14:00:08 +0800] "GET /spring-mvc-demo/ HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/Dec/2022:14:00:12 +0800] "GET /spring-mvc-demo/main-menu HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [08/Dec/2022:14:00:15 +0800] "GET /spring-mvc-demo/main-menu HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/Dec/2022:14:00:21 +0800] "GET /spring-mvc-demo/main-menu HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/Dec/2022:14:00:22 +0800] "GET /spring-mvc-demo/main-menu HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/Dec/2022:14:00:22 +0800] "GET /spring-mvc-demo/main-menu HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/Dec/2022:14:00:22 +0800] "GET /spring-mvc-demo/main-menu HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/Dec/2022:14:00:23 +0800] "GET /spring-mvc-demo/main-menu HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/Dec/2022:14:00:23 +0800] "GET /spring-mvc-demo/main-menu HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/Dec/2022:14:00:23 +0800] "GET /spring-mvc-demo/main-menu HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/Dec/2022:14:00:23 +0800] "GET /spring-mvc-demo/main-menu HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/Dec/2022:14:00:23 +0800] "GET /spring-mvc-demo/main-menu HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/Dec/2022:14:00:24 +0800] "GET /spring-mvc-demo/main-menu HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/Dec/2022:14:00:24 +0800] "GET /spring-mvc-demo/main-menu HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/Dec/2022:14:00:24 +0800] "GET /spring-mvc-demo/main-menu HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/Dec/2022:14:00:24 +0800] "GET /spring-mvc-demo/main-menu HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/Dec/2022:14:00:24 +0800] "GET /spring-mvc-demo/main-menu HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/Dec/2022:14:00:28 +0800] "GET /spring-mvc-demo/main-menu HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [08/Dec/2022:14:00:31 +0800] "GET /spring-mvc-demo/student/showForm HTTP/1.1" 200 1144
0:0:0:0:0:0:0:1 - - [08/Dec/2022:14:01:03 +0800] "GET /spring-mvc-demo/student/showForm HTTP/1.1" 200 1167
0:0:0:0:0:0:0:1 - - [08/Dec/2022:14:01:35 +0800] "POST /spring-mvc-demo/student/processForm HTTP/1.1" 200 275
0:0:0:0:0:0:0:1 - - [08/Dec/2022:14:01:42 +0800] "POST /spring-mvc-demo/student/processForm HTTP/1.1" 200 275
0:0:0:0:0:0:0:1 - - [08/Dec/2022:14:01:48 +0800] "POST /spring-mvc-demo/student/processForm HTTP/1.1" 200 282
0:0:0:0:0:0:0:1 - - [08/Dec/2022:14:11:18 +0800] "GET /spring-mvc-demo/student/showForm HTTP/1.1" 500 3863
0:0:0:0:0:0:0:1 - - [08/Dec/2022:14:11:19 +0800] "GET /spring-mvc-demo/main-menu HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [08/Dec/2022:14:11:19 +0800] "GET /spring-mvc-demo/main-menu HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [08/Dec/2022:14:11:19 +0800] "GET /spring-mvc-demo/main-menu HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [08/Dec/2022:14:14:13 +0800] "GET /spring-mvc-demo/main-menu HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [08/Dec/2022:14:14:14 +0800] "GET /spring-mvc-demo/main-menu HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [08/Dec/2022:14:14:14 +0800] "GET /spring-mvc-demo/main-menu HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [08/Dec/2022:14:14:14 +0800] "GET /spring-mvc-demo/main-menu HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [08/Dec/2022:14:14:14 +0800] "GET /spring-mvc-demo/main-menu HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [08/Dec/2022:14:14:17 +0800] "GET /spring-mvc-demo/student/showForm HTTP/1.1" 500 3863
0:0:0:0:0:0:0:1 - - [08/Dec/2022:14:14:59 +0800] "GET /spring-mvc-demo/main-menu HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [08/Dec/2022:14:15:01 +0800] "GET /spring-mvc-demo/student/showForm HTTP/1.1" 200 1785
0:0:0:0:0:0:0:1 - - [08/Dec/2022:14:15:14 +0800] "POST /spring-mvc-demo/student/processForm HTTP/1.1" 200 437
0:0:0:0:0:0:0:1 - - [08/Dec/2022:14:41:42 +0800] "GET /spring-mvc-demo/main-menu HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [08/Dec/2022:14:41:44 +0800] "GET /spring-mvc-demo/student/showForm HTTP/1.1" 200 1856
0:0:0:0:0:0:0:1 - - [08/Dec/2022:14:41:52 +0800] "POST /spring-mvc-demo/student/processForm HTTP/1.1" 200 349
0:0:0:0:0:0:0:1 - - [08/Dec/2022:14:42:07 +0800] "POST /spring-mvc-demo/student/processForm HTTP/1.1" 200 386
0:0:0:0:0:0:0:1 - - [08/Dec/2022:14:42:11 +0800] "GET /spring-mvc-demo/main-menu HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [08/Dec/2022:14:45:31 +0800] "GET /spring-mvc-demo/main-menu HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [08/Dec/2022:14:45:32 +0800] "GET /spring-mvc-demo/student/showForm HTTP/1.1" 200 1856
0:0:0:0:0:0:0:1 - - [08/Dec/2022:14:45:34 +0800] "POST /spring-mvc-demo/student/processForm HTTP/1.1" 200 1942
0:0:0:0:0:0:0:1 - - [08/Dec/2022:14:45:38 +0800] "POST /spring-mvc-demo/student/processForm HTTP/1.1" 200 1942
0:0:0:0:0:0:0:1 - - [08/Dec/2022:14:45:39 +0800] "POST /spring-mvc-demo/student/processForm HTTP/1.1" 200 1942
0:0:0:0:0:0:0:1 - - [08/Dec/2022:14:45:48 +0800] "POST /spring-mvc-demo/student/processForm HTTP/1.1" 200 419
0:0:0:0:0:0:0:1 - - [08/Dec/2022:14:45:58 +0800] "GET /spring-mvc-demo/student/showForm HTTP/1.1" 200 1856
0:0:0:0:0:0:0:1 - - [08/Dec/2022:14:45:58 +0800] "GET /spring-mvc-demo/student/showForm HTTP/1.1" 200 1856
0:0:0:0:0:0:0:1 - - [08/Dec/2022:14:46:01 +0800] "POST /spring-mvc-demo/student/processForm HTTP/1.1" 200 1942
0:0:0:0:0:0:0:1 - - [08/Dec/2022:15:02:53 +0800] "GET /spring-mvc-demo/main-menu HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [08/Dec/2022:15:02:53 +0800] "GET /spring-mvc-demo/main-menu HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [08/Dec/2022:15:02:54 +0800] "GET /spring-mvc-demo/main-menu HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [08/Dec/2022:15:05:21 +0800] "GET /spring-mvc-demo/student/showForm HTTP/1.1" 200 1856
0:0:0:0:0:0:0:1 - - [08/Dec/2022:15:05:34 +0800] "GET /spring-mvc-demo/main-menu HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [08/Dec/2022:15:05:35 +0800] "GET /spring-mvc-demo/student/showForm HTTP/1.1" 200 1856
0:0:0:0:0:0:0:1 - - [08/Dec/2022:15:05:45 +0800] "POST /spring-mvc-demo/student/processForm HTTP/1.1" 200 399
0:0:0:0:0:0:0:1 - - [08/Dec/2022:15:06:03 +0800] "GET /spring-mvc-demo/student/showForm HTTP/1.1" 200 1856
0:0:0:0:0:0:0:1 - - [08/Dec/2022:15:06:13 +0800] "POST /spring-mvc-demo/student/processForm HTTP/1.1" 200 1998
0:0:0:0:0:0:0:1 - - [08/Dec/2022:15:06:16 +0800] "POST /spring-mvc-demo/student/processForm HTTP/1.1" 200 1998
0:0:0:0:0:0:0:1 - - [08/Dec/2022:15:06:17 +0800] "POST /spring-mvc-demo/student/processForm HTTP/1.1" 200 1998
0:0:0:0:0:0:0:1 - - [08/Dec/2022:15:06:18 +0800] "POST /spring-mvc-demo/student/processForm HTTP/1.1" 200 1998
0:0:0:0:0:0:0:1 - - [08/Dec/2022:15:06:24 +0800] "POST /spring-mvc-demo/student/processForm HTTP/1.1" 200 412
0:0:0:0:0:0:0:1 - - [08/Dec/2022:15:06:32 +0800] "POST /spring-mvc-demo/student/processForm HTTP/1.1" 200 412
0:0:0:0:0:0:0:1 - - [08/Dec/2022:15:06:48 +0800] "GET /spring-mvc-demo/student/showForm HTTP/1.1" 200 1856
0:0:0:0:0:0:0:1 - - [08/Dec/2022:15:06:56 +0800] "POST /spring-mvc-demo/student/processForm HTTP/1.1" 200 1976
0:0:0:0:0:0:0:1 - - [08/Dec/2022:15:06:58 +0800] "POST /spring-mvc-demo/student/processForm HTTP/1.1" 200 1976
0:0:0:0:0:0:0:1 - - [08/Dec/2022:15:06:58 +0800] "POST /spring-mvc-demo/student/processForm HTTP/1.1" 200 1976
0:0:0:0:0:0:0:1 - - [08/Dec/2022:15:06:59 +0800] "POST /spring-mvc-demo/student/processForm HTTP/1.1" 200 1976
0:0:0:0:0:0:0:1 - - [08/Dec/2022:15:06:59 +0800] "POST /spring-mvc-demo/student/processForm HTTP/1.1" 200 1976
0:0:0:0:0:0:0:1 - - [08/Dec/2022:15:07:00 +0800] "POST /spring-mvc-demo/student/processForm HTTP/1.1" 200 1976
0:0:0:0:0:0:0:1 - - [08/Dec/2022:15:07:00 +0800] "POST /spring-mvc-demo/student/processForm HTTP/1.1" 200 1976
0:0:0:0:0:0:0:1 - - [08/Dec/2022:15:07:01 +0800] "POST /spring-mvc-demo/student/processForm HTTP/1.1" 200 1976
0:0:0:0:0:0:0:1 - - [08/Dec/2022:15:07:01 +0800] "POST /spring-mvc-demo/student/processForm HTTP/1.1" 200 1976
0:0:0:0:0:0:0:1 - - [08/Dec/2022:15:07:01 +0800] "POST /spring-mvc-demo/student/processForm HTTP/1.1" 200 1976
0:0:0:0:0:0:0:1 - - [08/Dec/2022:15:07:01 +0800] "POST /spring-mvc-demo/student/processForm HTTP/1.1" 200 1976
